ts,pressure,flow,grams,t1_in,t1_out,t_final,pot,pulses_batch,pulses_total,encoder,limit_top,limit_bottom,btn1,btn2,btn3,led1,led2,led3,pid1,pid2,pid3,emergency
53131,5.611321248511749,1.0935418630819167,25.024835386899575,92.98182788610455,90.03104968998181,87.2645126691376,15.111048774194007,8,125988,41,0,0,0,0,1,1,0,1,154.78338623432427,-19.808973234353637,18.638880104681384,0
53142,5.549121358127488,1.1663890329761797,25.124151965952084,93.84253836406354,90.38355409121195,87.45746499515755,15.10567027694221,2,125990,42,0,0,0,1,1,1,0,1,138.48073483646215,-22.90747259609779,17.79617295422803,0
53153,5.978443326520026,1.2054632622460755,24.839425516571083,93.01680275772095,89.77259351165277,87.6823119361213,15.100239538047926,49,126039,42,0,0,0,0,1,1,0,1,135.65157832500654,-24.70188214056085,13.817854289040893,0
53163,5.550368346115822,1.0929098359384914,24.897160219309843,93.52926287980335,89.78284836616697,87.94165758699351,15.095034404774918,9,126048,40,0,0,0,1,1,1,0,1,147.76175382407249,-20.247208641403383,16.00059218690557,0
53174,5.847073491854226,1.0872216533262589,25.037899105933718,93.58256656292592,89.69385439679213,87.94742076845684,15.089894777752296,24,126072,42,0,0,0,0,1,1,0,1,138.44276342641936,-17.798069352945944,15.695633696648517,0
53185,5.996739728366959,1.0564198212977636,25.132027763936524,93.27365757625995,90.45836981586632,88.1826410472078,15.084923840244251,34,126106,44,0,0,0,1,1,1,0,1,141.52709758078512,-18.05251918754469,17.146530165384853,0
53196,5.883773837133178,1.1957631951242278,24.791937573369758,93.63614595553148,90.32761576026827,87.71242378302854,15.08002191787213,21,126127,42,0,0,0,0,1,1,0,1,134.35279679102578,-19.28808049049908,14.18700049849379,0
53207,5.8769287059900615,1.0450881034867319,24.78431065124702,93.00689392813165,90.49950988372242,88.18896221704712,15.07540634409919,6,126133,44,0,0,0,0,1,1,0,1,152.11893774822636,-22.642371380669182,17.401488903834167,0
53217,5.945702585012174,1.124622460168208,24.9657995266422,93.19544820620834,90.52690154237202,88.16279765565966,15.070979515321127,32,126165,42,0,0,0,0,1,1,0,1,137.33749966259518,-25.145913513076685,17.254238192834602,0
53228,5.840464853912451,1.042215753172193,25.100932772064446,93.26468167235593,90.24633653332634,87.69199784350671,15.066609907497458,50,126215,40,0,0,0,1,1,1,0,1,143.19378482122488,-26.403313113701167,15.25938172796721,0
53239,5.528419731923401,1.177933322387918,25.04225356449384,93.95675887815399,89.83431653375345,87.9645947546763,15.062471192484235,13,126228,38,0,0,0,0,1,1,0,1,137.1175399051702,-24.793366582007078,15.892535630205735,0
53249,5.679713671557831,1.133734319840547,24.849671989478452,93.24175161169623,89.90227245157655,87.7281324782706,15.058428127011737,22,126250,39,0,0,0,1,1,1,0,1,151.19294525020732,-19.98478787453826,14.541367650510981,0
53260,5.597424974286507,1.123793586012533,24.961586675163964,93.13702003924257,90.27676281639499,87.67664520624513,15.054623931119075,47,126297,38,0,0,0,1,1,1,0,1,151.2011672196882,-23.968579610649513,19.28045513814385,0
53270,5.7485405784146275,1.1898795684941872,24.796108212223537,93.08658633123274,90.57834844633383,87.98405504308194,15.050874611859346,45,126342,36,0,0,0,0,1,1,0,1,142.3242714139055,-24.926044730684463,18.808532099460255,0
53281,5.532196658228441,1.0980476913282247,24.94904224849053,93.72683631276345,90.32876848380837,87.33495814949663,15.04729829170686,12,126354,35,0,0,0,1,1,1,0,1,149.1181548954244,-19.32828592429446,15.981504386628085,0
53291,5.933105846730997,1.1303127014822676,25.022230018622604,93.94275663287682,89.83216997604964,88.17065425328869,15.043786423560757,28,126382,37,0,0,0,1,1,1,0,1,142.23736807067925,-20.52183036067565,16.35674987156946,0
53302,5.560092802399792,1.0729770993674448,24.889291577378152,93.41871831535715,90.14093514699744,87.63562664331126,15.040356787748888,28,126410,36,0,0,0,1,1,1,0,1,140.3691011796959,-21.150562137276715,14.724998158444887,0
53313,5.949824471373871,1.0671331576517236,25.00088677097599,93.16015119911536,89.99415661710226,88.13959691533724,15.03711419959895,41,126451,38,0,0,0,1,1,1,0,1,145.79455347685598,-18.85023203393426,14.226537542205065,0
53323,5.542575212448431,1.1599052864770911,24.978185201740985,93.07862494849529,90.55581876702115,87.97056029865415,15.034041706844228,35,126486,36,0,0,0,0,1,1,0,1,150.86189940956348,-21.082427542542607,17.437526383214706,0
53334,5.743565532691794,1.1787623505203098,25.046799004121524,93.47480385630145,89.82961026057309,87.24831047152038,15.031063398283642,32,126518,34,0,0,0,1,1,1,0,1,136.85182710742836,-23.177958382062833,18.188482375162145,0
53345,5.446563630287299,1.1697858087611366,25.164962146422393,93.24574109105671,90.49778804795325,88.042350056519,15.028229218867992,36,126554,32,0,0,0,0,1,1,0,1,148.32169046165586,-24.451663296673527,17.791181025289905,0
53355,5.616447976045119,1.0212162898431993,24.847678470405594,93.79689871434552,90.44209048241554,87.29675980750434,15.025491247945173,31,126585,34,0,0,0,1,1,1,0,1,144.4822338975399,-20.60438925073756,14.235723122504373,0
53366,5.405713405425384,0.9993100827913929,24.997536774005212,92.99308757168457,90.11255304691016,87.51571373369333,15.022891237346656,29,126614,33,0,0,0,0,1,1,0,1,146.58724452239164,-24.714170672850702,14.59764405952167,0
53377,5.654725990968198,1.1819144441308493,24.95096556349748,93.75586708682235,90.54026191351055,88.0528751082029,15.020492751569808,34,126648,34,0,0,0,1,1,1,0,1,135.05219130983068,-23.55152995357611,16.750146849520313,0
53387,5.713590031188054,1.109857418953593,25.140273720671043,93.10496402176564,90.54520778793217,87.98365565613545,15.018208482041764,16,126664,34,0,0,0,1,1,1,0,1,133.4509837130934,-25.12719019426365,15.591877767197197,0
53398,5.848956101947277,0.9977946129846457,24.85844760395206,93.1564843993255,90.36912802033945,87.40449424911667,15.016005247822203,38,126702,35,0,0,0,1,1,1,0,1,144.99218599709417,-19.252908549831435,13.964981686950004,0
53409,5.897441273051157,1.148901275216925,25.221565849592004,93.18596847130355,90.08309734072488,87.5683045451846,15.01400691876016,25,126727,37,0,0,0,0,1,1,0,1,141.92313096334755,-18.29345576293178,17.150001393829324,0
53419,5.453076828141155,1.0506291920034043,24.89383814568851,93.85422720068428,89.84677394810004,87.50143299695148,15.0121690055296,19,126746,36,0,0,0,0,1,1,0,1,136.30314002918152,-21.744352279381957,16.42173672698683,0
53430,5.632787697747469,1.1232612753988356,25.148579904715113,93.20341729817777,89.8436764895513,87.62169930505567,15.010440792765177,9,126755,35,0,0,0,1,1,1,0,1,141.86774525777716,-23.186230609073693,15.179191698871882,0
53440,5.797278275171216,1.1403853366952497,25.10010567048571,93.11217441510438,90.55219598382999,88.01219099652636,15.008833114464643,0,126755,37,0,0,0,1,1,1,0,1,142.28653008575168,-16.832431004162085,18.112990098658056,0
53451,5.385364176904306,1.0983833197906978,25.228438281625067,93.46672330120532,89.84405024291564,87.8460498358665,15.007327121340673,41,126796,36,0,0,0,1,1,1,0,1,140.74019594107483,-18.026168856223087,19.204529657587205,0
53462,5.402785452688079,0.9995286227927501,25.163831060263366,93.89411676508793,90.39708439953999,87.64469463683238,15.005957629874597,34,126830,36,0,0,0,0,1,1,0,1,139.11919210490123,-25.55364819786287,15.466081492811949,0
53473,5.595423219385003,1.0058555392125657,25.187922448940732,93.91934398071659,89.6520619576177,88.11822049388047,15.004738651053827,12,126842,34,0,0,0,1,1,1,0,1,137.59777139514702,-18.91383178784261,14.252457974590467,0
53483,5.778882704030302,1.011668689356977,25.04253423054586,93.06507960698292,90.07447598706776,88.09735780245555,15.003692915903997,17,126859,32,0,0,0,1,1,1,0,1,137.12629713125733,-18.30003206001774,14.800617265522611,0
53494,5.536863074199974,1.0469821189740376,25.137230370752786,93.79470615223254,90.27754359100605,87.44485901127113,15.002755869108654,9,126868,32,0,0,0,1,1,1,0,1,141.39310049847447,-22.029655628551616,19.921804459059548,0
53504,5.812811810107372,1.1721134042364514,25.149760577926845,93.11629006846862,89.70228387379404,88.0158871284107,15.001959149852972,50,126918,34,0,0,0,0,1,1,0,1,129.82626390449514,-18.551913208472556,16.14157939332412,0
53515,5.65524156703599,0.9982761718625226,25.02355708334554,93.55681346049619,89.76226872026614,87.57641982509115,15.001284529357388,47,126965,34,0,0,0,1,1,1,0,1,130.52814539117662,-18.805589310535876,15.428728585213676,0
53526,5.264400104534421,1.0212847449010662,24.986813579783036,93.91393994194956,90.53032014638401,87.93541769858852,15.000767769178552,10,126975,33,0,0,0,1,1,1,0,1,131.8135591324888,-18.80549520214575,15.391489096092057,0
53536,5.2394614914881315,1.0941602950114484,25.053331176474178,93.3935051841795,90.52923633822527,87.90580089864322,15.000383466075533,43,127018,34,0,0,0,0,1,1,0,1,140.79608925372725,-21.995479378301646,15.750650371651101,0
53547,5.707481404352658,1.0670021437573893,24.98663474734807,93.35266620683424,89.96050692941428,87.67959489631038,15.000132523093267,37,127055,36,0,0,0,0,1,1,0,1,133.05706987227398,-20.78449458995066,17.426574634954022,0
53557,5.743400241157383,1.0304014048903247,24.873625292930168,93.13733195469429,90.45603409776312,87.8595858077697,15.000010265208854,43,127098,34,0,0,0,1,1,1,0,1,132.2874501920577,-24.650876600361137,15.186345965033972,0
